127.0.0.1, 2020-10-29 14:50:30, GET, /, HTTP/1.1, 303, 0.001375
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.332029
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000663
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000579
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000515
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000485
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000591
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001402
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002053
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000952
127.0.0.1, 2020-10-29 14:50:31, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2020-10-29 14:50:32, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000484
127.0.0.1, 2020-10-29 14:50:32, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000583
127.0.0.1, 2020-10-29 14:50:32, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000538
127.0.0.1, 2020-10-29 14:50:42, GET, /examples/default/index, HTTP/1.1, 200, 0.009315
127.0.0.1, 2020-10-29 14:50:42, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000814
127.0.0.1, 2020-10-29 14:50:42, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000779
